"","calc.age.dec","ppvt.st","wasi.v.st","piat.l.st_bct","oral.comp_bct","wid.st","watt.st","decod.comp_bct","piat.r.st","gort.st","readcomp.comp_bct","mrt.st","art.st","printexp.comp_bct","corsi.st","gort.wpm.st","sspan.corr.st"
"calc.age.dec",,,,,,,,,,,,,,,,,
"ppvt.st",0.590732509329342,,,,,,,,,,,,,,,,
"wasi.v.st",0.378382748937102,0.82890446456132,,,,,,,,,,,,,,,
"piat.l.st_bct",0.407851079353623,0.637889855279819,0.540505565252767,,,,,,,,,,,,,,
"oral.comp_bct",0.519902463093966,0.931389829796608,0.894620352672549,0.822498788666831,,,,,,,,,,,,,
"wid.st",0.486524612374742,0.81629826870653,0.715687331538452,0.440638316630335,0.744805450301808,,,,,,,,,,,,
"watt.st",0.0754921305236209,0.376141990408574,0.353669839753744,-0.0254851827570857,0.265933268522453,0.613292237093403,,,,,,,,,,,
"decod.comp_bct",0.31287995022918,0.663842587676564,0.595321087421101,0.231119612547273,0.562687649498779,0.898134799763767,0.898134799763767,,,,,,,,,,
"piat.r.st",0.550339731969387,0.798032342501965,0.717553732420916,0.634217248576222,0.811703243948997,0.713552582288127,0.31655000703942,0.573467696385048,,,,,,,,,
"gort.st",0.350516213817473,0.672935181689778,0.609946504595991,0.624957978268327,0.720344799789669,0.585861739651589,0.367020651136579,0.530478493339085,0.648050239482518,,,,,,,,
"readcomp.comp_bct",0.496198135594438,0.810219820868675,0.731196975154129,0.693563052859946,0.84386342400197,0.715727044847355,0.376515787813032,0.608061748051448,0.907758293678036,0.907758293678036,,,,,,,
"mrt.st",0.469884548177215,0.717119300401806,0.638239780252967,0.521682811021151,0.708716455988001,0.677591638889045,0.261500644451377,0.522801412208628,0.665805304971559,0.616306357802285,0.706196611864052,,,,,,
"art.st",0.347445297846145,0.692370571548247,0.760541878602663,0.342386442810183,0.677852675798588,0.799936554900371,0.50826125284979,0.728285892103419,0.654765337134617,0.500285212868299,0.636210408677682,0.729421893502664,,,,,
"printexp.comp_bct",0.439472681859533,0.75787308770569,0.7521153545831,0.464604142551732,0.745548762099751,0.794456829157745,0.413895720370595,0.672701107810413,0.710061824482523,0.600383669447359,0.721803096185575,0.929898352913549,0.929898352913549,,,,
"corsi.st",0.476610381247576,0.539278397248118,0.409867737094906,0.464726480864133,0.533837200710226,0.51925722125308,0.0356252395309431,0.308908228993004,0.49487743389664,0.38620423043826,0.485306314726661,0.509318089523323,0.400863562177289,0.489398464277756,,,
"gort.wpm.st",0.37368973957364,0.576697796911374,0.577093860989547,0.177119429179998,0.502513339235573,0.616939798514342,0.346549865491777,0.536383661038155,0.481465133658829,0.348392256318087,0.457091604536334,0.595626481057071,0.632683387701763,0.660453836115692,0.303576520595345,,
"sspan.corr.st",0.318953772559379,0.625650159550075,0.669346669307017,0.380161055189225,0.632490923120345,0.600653977759762,0.391974452109274,0.552605483124651,0.572936658717386,0.55707989699379,0.622421498972265,0.46905570504159,0.504436216250387,0.523439964293861,0.446705661688264,0.473565921915991,
