"Label","Mean","SD","Min.","25%","50%","75%","Max.","Skewness","Kurtosis","BoxCox.lambda"
"calc.age.dec",20.6147727272727,2.27066580609297,16.6,18.725,20.155,22.415,25.49,0.322422236814814,-0.818853544407017,0.528116875781971
"ppvt.st",1.51358319422746e-16,1,-2.09479647291533,-0.729759703451267,0.197974617321347,0.840865277900409,1.40985535009762,-0.475505615739256,-0.855785857118992,1.46289239853578
"wasi.v.st",-3.61302057657312e-16,1,-2.20434858115309,-1.00396073993111,0.016368925107572,0.616562845718561,2.23708643136823,0.231537325567295,-0.550174526326358,0.644084782874371
"piat.l.st_bct",8.29611789619135e-17,1,-2.07915334481658,-0.593647862981241,0.23092717759279,0.844007508377214,1.2453626272231,-0.683911515065022,-0.572435058885793,1.71508319160966
"oral.comp_bct",-3.46944695195361e-18,1,-1.97434352526551,-0.865772671293999,0.00811150945570547,0.82282448104846,1.7989610848061,-0.125246529152883,-1.02731287284136,0.976116971618392
"wid.st",7.20400905615821e-16,1,-2.15882231233674,-0.857614343257059,0.0718199203712816,0.815367331273954,1.55891474217663,-0.206572363618229,-1.0109042007577,1.10964672590577
"watt.st",1.04694812340536e-16,1,-2.02650790026414,-0.650316135943655,0.192074507117635,0.937746404071183,1.73753650009713,-0.304472005436773,-0.896893802110987,1.22169424597344
"decod.comp_bct",-2.18005489814552e-17,1,-2.10837022362094,-0.673811442870205,-0.00177172557638183,0.820155957445749,1.73168013886459,-0.277500529131641,-0.713780835066659,1.20397738304438
"piat.r.st",1.83279449066981e-17,1,-1.9000997296846,-0.718061221520492,0.523860332367138,0.820728364391857,1.00258502476027,-0.769889061138439,-0.840942777684805,1.8924430960397
"gort.st",-3.75010746887657e-17,1,-2.4164653807277,-0.799815546507738,0.0207089719634074,0.952673233646654,1.45744103738854,-0.190723606146308,-0.698557454828687,1.13822910833645
"readcomp.comp_bct",5.75612789755941e-18,1,-2.35355143233456,-0.907350961796138,0.119295965551164,0.976802751563459,1.35500059833182,-0.429125644431621,-0.907197715789636,1.46756617546411
"mrt.st",3.8218126580114e-18,1,-1.59002386641379,-0.920540133186934,0.167370933306715,0.753169199880218,1.92476573302722,0.182308925399888,-1.11824411449499,0.484769280525967
"art.st",1.57370713288348e-16,1,-2.08595923286525,-0.600146853901214,-0.0134098935656605,0.847365817568192,1.96189489401865,-0.0247242781744126,-0.623753079970338,0.93604749456441
"printexp.comp_bct",3.81639164714898e-17,1,-1.7065684057911,-0.910912955188774,-0.141777697867468,0.91960692716196,1.75904647251767,0.134103437329786,-1.22024995303673,0.550640954794781
"corsi.st",2.09827617717797e-16,1,-2.07511045037409,-0.602451421076347,-0.351021830708441,0.798370582401989,2.16327407297062,0.245791588496404,-0.358400765627563,0.673771628879989
"gort.wpm.st",-8.77700160124618e-17,1,-2.29677306071005,-0.69398200105372,-0.00477518773442802,0.532951369038786,2.86355266164709,0.418827866105931,0.676683148465853,0.653827087202125
"sspan.corr.st",-6.97043433074317e-17,1,-2.05655690945401,-0.845429704651267,0.1926793280368,0.798242930438173,1.7498428770689,-0.324958772363498,-0.909669494371009,1.25514164369775
