"Label","Mean","SD","Min.","25%","50%","75%","Max.","Skewness","Kurtosis"
"tffixurt",168.153880378822,109.973243069291,4,112,156,184,1802,3.50971837536702,24.7675856712116
"fpurt",293.537596135511,145.46667604666,52,192,252,360,1000,1.50420810125702,2.73100097111047
"res_fpurt",-3.77822049947881,134.163111191027,-409.170564136098,-89.2523784464599,-29.8134667712475,56.90318,733.991562290553,1.28965318783225,2.78231379197347
"fpregres",0.165321299180067,0.371482083716414,0,0,0,0,1,1.80208556861932,1.24767098607073
"fpregres_in",0.252462975910507,0.434439199407012,0,0,0,1,1,1.13971527277288,-0.701138242800891
"ffos",2.39267781097057,1.79136905238986,0,1,2,4,13,0.580127725440655,0.130887579059209
"ffixurt",236.983601347486,96.7933465193038,52,176,216,272,996,1.91753185612099,6.54145080399331
"rpurt",379.69637068582,301.492424168236,52,208,292,448,5720,4.42326103982018,37.1336037840499
"spurt",84.5334011313799,190.218037622288,0,0,0,72,2320,3.55380711511815,18.7832529619374
"turt",378.070997266891,237.38900703717,52,212,312,464,3080,2.27853841977097,9.38735076602261
